class,path
3,seg_train/seg_train/mountain/11066.jpg
4,seg_train/seg_train/sea/18490.jpg
3,seg_train/seg_train/mountain/8855.jpg
5,seg_train/seg_train/street/19770.jpg
2,seg_train/seg_train/glacier/2549.jpg
3,seg_train/seg_train/mountain/18931.jpg
5,seg_train/seg_train/street/9274.jpg
2,seg_train/seg_train/glacier/19226.jpg
1,seg_train/seg_train/forest/4707.jpg
1,seg_train/seg_train/forest/17831.jpg
3,seg_train/seg_train/mountain/16207.jpg
1,seg_train/seg_train/forest/19758.jpg
3,seg_train/seg_train/mountain/959.jpg
0,seg_train/seg_train/buildings/4178.jpg
3,seg_train/seg_train/mountain/1412.jpg
2,seg_train/seg_train/glacier/3818.jpg
0,seg_train/seg_train/buildings/11910.jpg
1,seg_train/seg_train/forest/8778.jpg
2,seg_train/seg_train/glacier/10838.jpg
2,seg_train/seg_train/glacier/4742.jpg
4,seg_train/seg_train/sea/18999.jpg
3,seg_train/seg_train/mountain/14340.jpg
3,seg_train/seg_train/mountain/10783.jpg
2,seg_train/seg_train/glacier/4451.jpg
5,seg_train/seg_train/street/3547.jpg
1,seg_train/seg_train/forest/10103.jpg
5,seg_train/seg_train/street/11723.jpg
2,seg_train/seg_train/glacier/2479.jpg
5,seg_train/seg_train/street/14238.jpg
3,seg_train/seg_train/mountain/9907.jpg
0,seg_train/seg_train/buildings/17296.jpg
1,seg_train/seg_train/forest/9983.jpg
3,seg_train/seg_train/mountain/4768.jpg
2,seg_train/seg_train/glacier/8870.jpg
4,seg_train/seg_train/sea/15011.jpg
4,seg_train/seg_train/sea/11582.jpg
2,seg_train/seg_train/glacier/17966.jpg
5,seg_train/seg_train/street/14627.jpg
5,seg_train/seg_train/street/11029.jpg
2,seg_train/seg_train/glacier/460.jpg
0,seg_train/seg_train/buildings/5292.jpg
4,seg_train/seg_train/sea/17077.jpg
4,seg_train/seg_train/sea/7052.jpg
3,seg_train/seg_train/mountain/18320.jpg
2,seg_train/seg_train/glacier/12862.jpg
4,seg_train/seg_train/sea/2508.jpg
4,seg_train/seg_train/sea/7078.jpg
2,seg_train/seg_train/glacier/15627.jpg
2,seg_train/seg_train/glacier/10326.jpg
0,seg_train/seg_train/buildings/8179.jpg
4,seg_train/seg_train/sea/9708.jpg
0,seg_train/seg_train/buildings/13806.jpg
2,seg_train/seg_train/glacier/19183.jpg
2,seg_train/seg_train/glacier/1111.jpg
2,seg_train/seg_train/glacier/15682.jpg
3,seg_train/seg_train/mountain/12179.jpg
4,seg_train/seg_train/sea/14599.jpg
4,seg_train/seg_train/sea/4068.jpg
4,seg_train/seg_train/sea/12485.jpg
4,seg_train/seg_train/sea/781.jpg
5,seg_train/seg_train/street/2848.jpg
4,seg_train/seg_train/sea/17607.jpg
3,seg_train/seg_train/mountain/11049.jpg
2,seg_train/seg_train/glacier/1312.jpg
5,seg_train/seg_train/street/2652.jpg
0,seg_train/seg_train/buildings/15409.jpg
0,seg_train/seg_train/buildings/7924.jpg
2,seg_train/seg_train/glacier/4375.jpg
3,seg_train/seg_train/mountain/10474.jpg
4,seg_train/seg_train/sea/7639.jpg
3,seg_train/seg_train/mountain/16026.jpg
4,seg_train/seg_train/sea/19593.jpg
4,seg_train/seg_train/sea/1484.jpg
3,seg_train/seg_train/mountain/19354.jpg
0,seg_train/seg_train/buildings/19776.jpg
1,seg_train/seg_train/forest/10050.jpg
0,seg_train/seg_train/buildings/5741.jpg
4,seg_train/seg_train/sea/15622.jpg
4,seg_train/seg_train/sea/12620.jpg
3,seg_train/seg_train/mountain/8250.jpg
0,seg_train/seg_train/buildings/7084.jpg
4,seg_train/seg_train/sea/18876.jpg
3,seg_train/seg_train/mountain/1993.jpg
0,seg_train/seg_train/buildings/15693.jpg
2,seg_train/seg_train/glacier/8187.jpg
0,seg_train/seg_train/buildings/10842.jpg
5,seg_train/seg_train/street/11542.jpg
5,seg_train/seg_train/street/11424.jpg
1,seg_train/seg_train/forest/15777.jpg
2,seg_train/seg_train/glacier/1566.jpg
1,seg_train/seg_train/forest/14570.jpg
5,seg_train/seg_train/street/1146.jpg
4,seg_train/seg_train/sea/3784.jpg
5,seg_train/seg_train/street/3619.jpg
1,seg_train/seg_train/forest/175.jpg
2,seg_train/seg_train/glacier/8216.jpg
1,seg_train/seg_train/forest/1757.jpg
5,seg_train/seg_train/street/18439.jpg
3,seg_train/seg_train/mountain/18901.jpg
5,seg_train/seg_train/street/14932.jpg
1,seg_train/seg_train/forest/18421.jpg
3,seg_train/seg_train/mountain/12748.jpg
5,seg_train/seg_train/street/2434.jpg
1,seg_train/seg_train/forest/17494.jpg
5,seg_train/seg_train/street/1803.jpg
1,seg_train/seg_train/forest/9964.jpg
5,seg_train/seg_train/street/10600.jpg
4,seg_train/seg_train/sea/4137.jpg
