path,label
seg_pred/seg_pred/4538.jpg,5
seg_pred/seg_pred/21160.jpg,1
seg_pred/seg_pred/14613.jpg,3
seg_pred/seg_pred/24253.jpg,5
seg_pred/seg_pred/745.jpg,0
seg_pred/seg_pred/6811.jpg,2
seg_pred/seg_pred/24281.jpg,2
seg_pred/seg_pred/22236.jpg,5
seg_pred/seg_pred/6784.jpg,0
seg_pred/seg_pred/7472.jpg,1
seg_pred/seg_pred/12809.jpg,3
seg_pred/seg_pred/9818.jpg,5
seg_pred/seg_pred/9053.jpg,1
seg_pred/seg_pred/2980.jpg,2
seg_pred/seg_pred/20399.jpg,1
seg_pred/seg_pred/152.jpg,1
seg_pred/seg_pred/18869.jpg,0
seg_pred/seg_pred/15700.jpg,0
seg_pred/seg_pred/828.jpg,5
seg_pred/seg_pred/21397.jpg,4
seg_pred/seg_pred/13571.jpg,4
seg_pred/seg_pred/9897.jpg,5
seg_pred/seg_pred/3983.jpg,0
seg_pred/seg_pred/14086.jpg,2
seg_pred/seg_pred/14631.jpg,2
seg_pred/seg_pred/15230.jpg,1
seg_pred/seg_pred/9598.jpg,1
seg_pred/seg_pred/5528.jpg,4
seg_pred/seg_pred/17127.jpg,2
seg_pred/seg_pred/22456.jpg,2
seg_pred/seg_pred/22828.jpg,3
seg_pred/seg_pred/23789.jpg,1
seg_pred/seg_pred/21370.jpg,4
seg_pred/seg_pred/20609.jpg,3
seg_pred/seg_pred/20039.jpg,1
seg_pred/seg_pred/13512.jpg,3
seg_pred/seg_pred/516.jpg,3
seg_pred/seg_pred/12112.jpg,2
seg_pred/seg_pred/9130.jpg,5
seg_pred/seg_pred/13695.jpg,2
seg_pred/seg_pred/7830.jpg,2
seg_pred/seg_pred/3140.jpg,3
seg_pred/seg_pred/9392.jpg,5
seg_pred/seg_pred/10100.jpg,3
seg_pred/seg_pred/19540.jpg,3
seg_pred/seg_pred/12335.jpg,1
seg_pred/seg_pred/8789.jpg,4
seg_pred/seg_pred/21541.jpg,2
seg_pred/seg_pred/23000.jpg,3
seg_pred/seg_pred/629.jpg,3
seg_pred/seg_pred/5476.jpg,3
seg_pred/seg_pred/2359.jpg,5
seg_pred/seg_pred/2017.jpg,0
seg_pred/seg_pred/17090.jpg,1
seg_pred/seg_pred/458.jpg,0
seg_pred/seg_pred/2593.jpg,3
seg_pred/seg_pred/570.jpg,4
seg_pred/seg_pred/7651.jpg,3
seg_pred/seg_pred/14606.jpg,0
seg_pred/seg_pred/5157.jpg,3
seg_pred/seg_pred/9245.jpg,3
seg_pred/seg_pred/1448.jpg,2
seg_pred/seg_pred/21204.jpg,3
seg_pred/seg_pred/18504.jpg,1
seg_pred/seg_pred/6663.jpg,1
seg_pred/seg_pred/21976.jpg,4
seg_pred/seg_pred/11462.jpg,3
seg_pred/seg_pred/4572.jpg,5
seg_pred/seg_pred/3846.jpg,1
seg_pred/seg_pred/4443.jpg,3
seg_pred/seg_pred/17388.jpg,4
seg_pred/seg_pred/4014.jpg,0
seg_pred/seg_pred/7682.jpg,2
seg_pred/seg_pred/2533.jpg,3
seg_pred/seg_pred/16676.jpg,4
seg_pred/seg_pred/11324.jpg,2
seg_pred/seg_pred/18750.jpg,3
